id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00023,SMCI,SHORT,2025-04-10T15:40:00,2025-04-10T15:55:00,33.0335,33.7169,60,-42.0,-2.1192,-41.0,1.0,1.01,15,3,39.99,1.41,End of day,0.58,TREND_DOWN
T-00024,SMCI,SHORT,2025-05-21T14:45:00,2025-05-21T15:25:00,42.2289,41.2792,47,43.63,2.1985,44.63,1.0,0.97,40,8,3.34,46.95,Take profit hit,0.6,TREND_DOWN
T-00025,SMCI,SHORT,2025-06-05T15:50:00,2025-06-05T15:55:00,40.8496,40.7904,48,1.84,0.0939,2.84,1.0,0.98,5,1,8.66,4.3,End of day,0.6,TREND_DOWN
T-00026,SMCI,SHORT,2025-07-07T14:15:00,2025-07-07T14:50:00,46.6966,47.0917,42,-17.59,-0.8971,-16.59,1.0,0.99,35,7,17.78,6.16,Stop loss hit,0.6,TREND_DOWN
T-00027,SMCI,SHORT,2025-07-31T11:05:00,2025-07-31T15:50:00,60.4997,58.6393,33,60.39,3.025,61.39,1.0,0.97,285,57,22.12,67.31,Take profit hit,0.58,TREND_DOWN
T-00028,SMCI,SHORT,2025-08-05T15:40:00,2025-08-05T15:55:00,57.5812,57.3387,34,7.25,0.3701,8.25,1.0,0.97,15,3,3.7,13.3,End of day,0.6,TREND_DOWN
T-00029,SMCI,SHORT,2025-09-24T12:05:00,2025-09-24T12:30:00,46.6866,47.2908,42,-26.37,-1.345,-25.37,1.0,0.99,25,5,24.5,2.38,Stop loss hit,0.58,TREND_DOWN
T-00030,SMCI,SHORT,2025-09-25T14:00:00,2025-09-25T14:20:00,45.0874,45.6828,44,-27.2,-1.3709,-26.2,1.0,1.0,20,4,35.75,0.0,Stop loss hit,0.6,TREND_DOWN
T-00031,SMCI,SHORT,2025-10-07T11:05:00,2025-10-07T15:00:00,54.1729,55.2758,36,-40.71,-2.0872,-39.71,1.0,0.99,235,47,39.14,20.62,Stop loss hit,0.58,TREND_DOWN
T-00032,SMCI,SHORT,2025-10-10T15:55:00,2025-10-13T09:30:00,52.8236,53.6768,37,-32.57,-1.6664,-31.57,1.0,0.99,3935,1,82.75,0.0,Stop loss hit,0.58,TREND_DOWN
T-00033,SMCI,SHORT,2025-10-30T15:20:00,2025-10-30T15:50:00,51.2244,50.5839,38,23.34,1.1991,24.34,1.0,0.96,30,6,6.67,26.77,Take profit hit,0.58,TREND_DOWN
T-00034,SMCI,SHORT,2025-11-06T13:00:00,2025-11-06T15:55:00,40.8496,40.3602,48,22.49,1.147,23.49,1.0,0.97,175,35,24.5,26.38,End of day,0.6,TREND_DOWN
T-00035,SMCI,SHORT,2025-11-17T14:55:00,2025-11-17T15:55:00,33.8331,34.1371,59,-18.94,-0.9486,-17.94,1.0,1.01,60,12,21.65,11.98,End of day,0.6,TREND_DOWN
T-00036,SMCI,SHORT,2025-12-12T10:25:00,2025-12-12T15:55:00,33.2734,32.3462,59,53.7,2.7356,54.7,1.0,0.95,330,66,9.83,61.56,End of day,0.6,TREND_DOWN
