================================================================================
IBKR 10-Year 5-Minute Bar Data Downloader
================================================================================
Symbols:    SPY, QQQ, AAPL, NVDA, MSFT, SMCI, IWM, HYG, LQD, TLT, GLD
Date range: 2016-01-01 to 2026-02-25
Port:       4002
Client ID:  55
Sleep:      11.0s between requests
Resume:     True
Cache dir:  /Users/mahimnpatel/Documents/Dev/randomThings/data/cache
Manifest:   /Users/mahimnpatel/Documents/Dev/randomThings/data/download_manifest.json

Download plan: 5830 chunks remaining out of 5830 total
Estimated time: 17h 48m 50s

  [84/5830] NVDA chunk 8/530 | 2136 bars | ETA: 17h 48m 54s
  [85/5830] MSFT chunk 8/530 | 2136 bars | ETA: 17h 48m 40s
  [86/5830] SMCI chunk 8/530 | 2136 bars | ETA: 17h 48m 27s
  [87/5830] IWM chunk 8/530 | 2136 bars | ETA: 17h 48m 14s
  [88/5830] HYG chunk 8/530 | 2136 bars | ETA: 17h 48m 02s
  [89/5830] LQD chunk 8/530 | 2136 bars | ETA: 17h 47m 50s
  [90/5830] TLT chunk 8/530 | 2136 bars | ETA: 17h 47m 39s
  [91/5830] GLD chunk 8/530 | 2136 bars | ETA: 17h 47m 28s
  [92/5830] SPY chunk 10/530 | 2328 bars | ETA: 17h 47m 14s
  [93/5830] QQQ chunk 10/530 | 2328 bars | ETA: 17h 47m 02s
  [94/5830] AAPL chunk 10/530 | 2328 bars | ETA: 17h 46m 49s
  [95/5830] NVDA chunk 9/530 | 2388 bars | ETA: 17h 46m 36s
  [96/5830] MSFT chunk 9/530 | 2388 bars | ETA: 17h 46m 24s
  [97/5830] SMCI chunk 9/530 | 2388 bars | ETA: 17h 46m 11s
  [98/5830] IWM chunk 9/530 | 2388 bars | ETA: 17h 45m 58s
  [99/5830] HYG chunk 9/530 | 2388 bars | ETA: 17h 45m 46s
  [100/5830] LQD chunk 9/530 | 2388 bars | ETA: 17h 45m 33s
  [101/5830] TLT chunk 9/530 | 2388 bars | ETA: 17h 45m 22s
  [102/5830] GLD chunk 9/530 | 2388 bars | ETA: 17h 45m 11s
  [103/5830] SPY chunk 11/530 | 2658 bars | ETA: 17h 44m 58s
  [104/5830] QQQ chunk 11/530 | 2658 bars | ETA: 17h 44m 46s
  [105/5830] AAPL chunk 11/530 | 2658 bars | ETA: 17h 44m 34s
  [106/5830] NVDA chunk 10/530 | 2640 bars | ETA: 17h 44m 22s
  [107/5830] MSFT chunk 10/530 | 2640 bars | ETA: 17h 44m 09s
  [108/5830] SMCI chunk 10/530 | 2640 bars | ETA: 17h 43m 57s
  [109/5830] IWM chunk 10/530 | 2640 bars | ETA: 17h 43m 45s
  [110/5830] HYG chunk 10/530 | 2640 bars | ETA: 17h 43m 33s
  [111/5830] LQD chunk 10/530 | 2640 bars | ETA: 17h 43m 22s
  [112/5830] TLT chunk 10/530 | 2640 bars | ETA: 17h 43m 11s
  [113/5830] GLD chunk 10/530 | 2640 bars | ETA: 17h 43m 01s
  [114/5830] SPY chunk 12/530 | 2988 bars | ETA: 17h 42m 48s
  [115/5830] QQQ chunk 12/530 | 2988 bars | ETA: 17h 42m 36s
  [116/5830] AAPL chunk 12/530 | 2988 bars | ETA: 17h 42m 24s
  [117/5830] NVDA chunk 11/530 | 2970 bars | ETA: 17h 42m 12s
  [118/5830] MSFT chunk 11/530 | 2970 bars | ETA: 17h 42m 00s
  [119/5830] SMCI chunk 11/530 | 2970 bars | ETA: 17h 41m 48s
