id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00104,AAPL,LONG,2024-07-29T09:55:00,2024-07-29T11:10:00,219.0495,216.5977,9,-23.07,-1.17,-22.07,1.0,0.98,75,15,22.86,0.36,Stop loss hit,0.57,TREND_UP
T-00105,AAPL,SHORT,2024-07-29T11:30:00,2024-07-29T12:00:00,216.6316,218.2008,9,-15.12,-0.7757,-14.12,1.0,0.98,30,6,15.56,0.19,Stop loss hit,0.77,TREND_DOWN
T-00106,AAPL,LONG,2024-07-31T10:30:00,2024-07-31T15:55:00,223.4016,221.879,8,-13.18,-0.7375,-12.18,1.0,0.89,325,65,16.97,3.35,End of day,0.58,TREND_UP
T-00107,AAPL,SHORT,2024-08-01T11:05:00,2024-08-01T15:55:00,220.1799,218.3891,9,15.12,0.7628,16.12,1.0,0.98,290,58,6.03,28.44,End of day,0.75,TREND_DOWN
T-00108,AAPL,SHORT,2024-08-05T14:40:00,2024-08-05T15:55:00,207.4462,209.3046,9,-17.73,-0.9494,-16.73,1.0,0.94,75,15,17.4,31.83,End of day,0.73,REVERSAL_DOWN
T-00109,AAPL,LONG,2024-08-06T09:50:00,2024-08-06T15:55:00,203.9019,207.0264,9,27.12,1.4779,28.12,1.0,0.93,365,73,13.25,54.79,End of day,0.57,TREND_UP
T-00110,AAPL,SHORT,2024-08-07T12:00:00,2024-08-07T12:35:00,211.3543,213.0236,9,-16.02,-0.8424,-15.02,1.0,0.96,35,7,14.54,0.0,Stop loss hit,0.55,TREND_DOWN
T-00111,AAPL,SHORT,2024-08-07T12:40:00,2024-08-07T14:35:00,212.0039,209.8063,9,18.78,0.9842,19.78,1.0,0.94,115,23,3.38,22.54,Take profit hit,0.55,TREND_DOWN
T-00112,AAPL,SHORT,2024-08-07T14:40:00,2024-08-07T15:55:00,209.5252,209.9649,9,-4.96,-0.2629,-3.96,1.0,0.94,75,15,13.18,9.41,End of day,0.55,TREND_DOWN
T-00113,AAPL,LONG,2024-08-13T14:30:00,2024-08-13T15:30:00,221.3406,220.3823,8,-8.67,-0.4895,-7.67,1.0,0.88,60,12,7.2,1.2,Stop loss hit,0.57,TREND_UP
T-00114,AAPL,LONG,2024-08-13T15:55:00,2024-08-14T09:30:00,221.3806,220.3598,8,-9.17,-0.5176,-8.17,1.0,0.88,1055,1,13.45,0.0,Stop loss hit,0.57,TREND_UP
T-00115,AAPL,LONG,2024-08-15T11:10:00,2024-08-15T15:55:00,224.6022,224.5976,8,-1.04,-0.0577,-0.04,1.0,0.9,285,57,6.1,5.82,End of day,0.58,TREND_UP
T-00116,AAPL,LONG,2024-08-19T13:55:00,2024-08-19T15:40:00,224.4222,225.0403,8,3.95,0.2197,4.95,1.0,0.9,105,21,1.14,6.86,Take profit hit,0.57,TREND_UP
T-00117,AAPL,SHORT,2024-08-22T11:25:00,2024-08-22T13:45:00,226.0669,224.5722,8,10.96,0.6059,11.96,1.0,0.9,140,28,4.34,15.98,Take profit hit,0.57,TREND_DOWN
T-00118,AAPL,SHORT,2024-08-22T13:50:00,2024-08-22T15:55:00,223.968,224.6423,8,-6.39,-0.3569,-5.39,1.0,0.9,125,25,7.86,0.54,End of day,0.57,TREND_DOWN
T-00119,AAPL,LONG,2024-08-23T10:35:00,2024-08-23T11:10:00,227.3536,225.2523,8,-17.81,-0.9792,-16.81,1.0,0.9,35,7,17.31,0.85,Stop loss hit,0.58,TREND_UP
T-00120,AAPL,SHORT,2024-08-26T10:50:00,2024-08-26T12:25:00,224.2378,225.8432,8,-13.84,-0.7717,-12.84,1.0,0.9,95,19,12.66,0.0,Stop loss hit,0.77,TREND_DOWN
T-00121,AAPL,LONG,2024-08-27T10:35:00,2024-08-27T15:55:00,228.114,228.0259,8,-1.7,-0.0934,-0.7,1.0,0.91,320,64,4.51,5.89,End of day,0.58,TREND_UP
T-00122,AAPL,SHORT,2024-08-28T12:20:00,2024-08-28T15:55:00,226.7266,226.6233,8,-0.17,-0.0096,0.83,1.0,0.91,215,43,8.27,8.37,End of day,0.55,TREND_DOWN
T-00123,AAPL,LONG,2024-08-29T10:45:00,2024-08-29T14:30:00,232.6263,230.4019,8,-18.79,-1.0099,-17.79,1.0,0.92,225,45,18.77,2.35,Stop loss hit,0.58,TREND_UP
T-00124,AAPL,SHORT,2024-08-30T11:20:00,2024-08-30T15:50:00,228.0359,229.5522,8,-13.13,-0.7198,-12.13,1.0,0.92,270,54,14.51,4.45,Stop loss hit,0.55,TREND_DOWN
T-00125,AAPL,SHORT,2024-09-03T10:45:00,2024-09-03T15:45:00,224.0179,221.2863,8,20.85,1.1636,21.85,1.0,0.88,300,60,5.22,22.78,Take profit hit,0.77,TREND_DOWN
T-00126,AAPL,LONG,2024-09-05T10:30:00,2024-09-05T11:25:00,225.1425,222.6061,8,-21.29,-1.1821,-20.29,1.0,0.89,55,11,22.1,1.26,Stop loss hit,0.57,TREND_UP
T-00127,AAPL,SHORT,2024-09-05T11:30:00,2024-09-05T14:35:00,222.2288,223.8876,8,-14.27,-0.8027,-13.27,1.0,0.9,185,37,12.57,2.79,Stop loss hit,0.77,TREND_DOWN
T-00128,AAPL,SHORT,2024-09-05T15:15:00,2024-09-05T15:55:00,222.5587,222.4912,8,-0.46,-0.0258,0.54,1.0,0.89,40,8,6.73,5.99,End of day,0.57,TREND_DOWN
